symptoms,disease
"progressive muscle weakness,muscle wasting,difficulty with motor skills",Muscular Dystrophy
"joint pain, stiffness, skin thickening,tightening of skin,Raynaud's phenomenon",Scleroderma
"muscle pain,fatigue,widespread tenderness,sleep disturbances",Fibromyalgia
"burning urination,frequent urination,cloudy urine,pelvic pain",Urinary Tract Infection
"pelvic pain,prostate tenderness,painful ejaculation,urinary problems",Prostatitis
"testicular pain,swelling,tenderness,fever",Epididymitis
"penile discharge,burning urination,itching",Urethritis
"erectile dysfunction,inability to achieve/maintain erection",Erectile Dysfunction
"premature ejaculation,ejaculation occurring sooner than desired",Premature Ejaculation
"painful intercourse,dyspareunia,pain during/after sex",Dyspareunia
"vaginal dryness,lack of lubrication,painful intercourse",Vaginal Atrophy
"irregular periods,missed periods,heavy bleeding,light bleeding",Menstrual Irregularities
"heavy periods,menorrhagia,prolonged bleeding,large clots",Menorrhagia
"painful periods,dysmenorrhea,cramps,lower abdominal pain",Dysmenorrhea
"missed periods,amenorrhea,absence of menstruation",Amenorrhea
"premenstrual syndrome,mood swings,bloating,breast tenderness,irritability",PMS
"premenstrual dysphoric disorder,severe PMS symptoms,depression,anxiety",PMDD
"vaginal discharge,itching,irritation,odor,burning",Yeast Infection
"hot flashes,night sweats,mood swings,sleep disturbances",Menopause
"vaginal bleeding after menopause,spotting,irregular bleeding",Postmenopausal Bleeding
"pelvic pain,lower abdominal pain,painful intercourse,irregular bleeding",Endometriosis
"pelvic inflammatory disease,pelvic pain,fever,vaginal discharge,irregular bleeding",PID
"uterine fibroids,heavy periods,pelvic pain,pressure,prolonged bleeding",Uterine Fibroids
"ovarian cysts,pelvic pain,bloating,pressure,irregular periods",Ovarian Cysts
"bladder pain, frequent urination , urgency, pelvic pain",Interstitial Cystitis
"unexplained weight loss,fatigue,changes in bowel/bladder habits,persistent pain",Cancer
"breast lump,nipple discharge,changes in breast shape/size,skin dimpling",Breast Cancer
"persistent sadness,loss of interest,fatigue,changes in appetite/sleep",Depression
"excessive worry,fear,restlessness,muscle tension,difficulty concentrating",Anxiety
"mood swings,periods of mania and depression,changes in energy/activity levels",Bipolar Disorder
"hallucinations,delusions,disorganized thinking,flat affect,social withdrawal",Schizophrenia
"difficulty concentrating,hyperactivity,impulsivity,inattention",Attention-Deficit/Hyperactivity Disorder
"obsessive thoughts,compulsive behaviors,anxiety,distress",Obsessive-Compulsive Disorder
"intense fear of social situations,anxiety,avoidance,physical symptoms",Social Anxiety Disorder
"flashbacks,nightmares,avoidance,hypervigilance,emotional numbness",Post-Traumatic Stress Disorder
"snoring,sleep apnea,gasping for air during sleep,daytime sleepiness",Sleep Apnea
"nightmares,frightening dreams,disturbed sleep,anxiety",Night Terrors
"sleepwalking,walking/performing activities while asleep,unaware",Somnambulism
"bedwetting,nocturnal enuresis,involuntary urination during sleep",Nocturnal Enuresis
"teeth grinding,bruxism,jaw pain,headache,worn teeth",Bruxism
"various symptoms, depending on mutation , affects lungs and pancreas , thick mucus",Cystic Fibrosis
"various symptoms, connective tissue disorder , long limbs , heart problems",Marfan Syndrome
"various symptoms, blood clotting disorder , excessive bleeding , easy bruising",Hemophilia
"blurred vision, sensitivity to light, eye pain, redness",Photophobia
"eye pain, redness, tearing, blurred vision, inflammation",Uveitis
"dry eyes, itching, burning, gritty sensation, blurred vision",Dry Eye Syndrome
"double vision,seeing two images of one object",Diplopia
"floaters, flashes of light, curtain-like shadow in vision",Vitreous Detachment
"eye redness, itching, discharge, crusting around eyes",Conjunctivitis 
"blurred vision at night,difficulty seeing in low light",Night Blindness
"bulging eyes,protrusion of eyeballs,double vision",Proptosis
"drooping eyelid,ptosis,difficulty keeping eye open",Ptosis
"involuntary eye movements,nystagmus,shaking eyes",Nystagmus
"color blindness,difficulty distinguishing certain colors",Color Blindness
"eye pain, vision loss,blurry vision,headache",Optic Neuritis
"blind spots,scotomas,areas of decreased vision",Scotoma
"retinal detachment,flashes of light,floaters,curtain-like shadow in vision",Retinal Detachment
"eye cancer,vision problems,eye pain,lump in eye",Retinoblastoma
"progressive vision loss,night blindness,tunnel vision",Retinitis Pigmentosa
"corneal degeneration,blurred vision,distorted vision,sensitivity to light",Keratoconus
"earache, hearing loss, fever, drainage from ear",Otitis Media
"ear fullness, ringing, dizziness, fluctuating hearing loss",Meniere's Disease
"loss of smell,reduced sense of smell,nasal congestion",Anosmia
"stuffy nose, sneezing, runny nose,itching,watery eyes",Rhinitis
"sore throat, difficulty swallowing, pain, redness, fever",Pharyngitis
"hoarseness, voice loss, sore throat, cough, difficulty speaking",Laryngitis 
"nosebleeds,bleeding from nose,dizziness",Epistaxis
"sinus pain, pressure, congestion,headache,nasal discharge",Sinusitis
"ear popping, pressure changes, muffled hearing,ear pain",Eustachian Tube Dysfunction
"throat pain, difficulty swallowing, fever, swollen tonsils , redness",Tonsillitis 
"facial pain, swelling, toothache, nasal congestion, fever",Maxillary Sinusitis
"forehead pain, fever, nasal discharge, headache, pressure",Frontal Sinusitis
"ear discharge, hearing loss, ear pain, dizziness, balance problems",Cholesteatoma
"vertigo, nausea, vomiting, hearing loss, imbalance",Labyrinthitis
"hearing loss,difficulty understanding speech,tinnitus",Sensorineural Hearing Loss
"hearing loss, ear noise, tinnitus, difficulty understanding speech",Otosclerosis
"growths in the nose,nasal congestion,loss of smell,runny nose",Nasal Polyps
"nasal deformity, breathing difficulty, nasal congestion, snoring",Deviated Septum 
"tumors in the neck or throat,difficulty swallowing,hoarseness,lump in neck",Head and Neck Cancer
"vocal cord paralysis,hoarseness,breathy voice,difficulty swallowing",Vocal Cord Paralysis
"rapid hearing loss,sudden deafness,tinnitus,ear fullness",Sudden Sensorineural Hearing Loss
"fatigue, weakness, pale skin, shortness of breath, dizziness",Anemia
"easy bruising, bleeding, petechiae, prolonged bleeding",Thrombocytopenia
"frequent infections, fever, fatigue, weakness, slow healing",Neutropenia
"blood clots,swelling,pain,redness,warmth in affected area",Thrombophilia
"excessive bleeding,easy bruising,prolonged bleeding after injury/surgery",Hemophilia
"bone pain, fatigue, infections, easy bruising, weight loss",Leukemia
"swollen lymph nodes, fever, night sweats, weight loss, itching",Lymphoma
"abnormal red blood cells,anemia,pain crises,jaundice,fatigue",Sickle Cell Anemia
"enlarged spleen, fatigue, bruising, abdominal pain, frequent infections",Thalassemia
"bone marrow failure,fatigue,frequent infections,easy bruising,bleeding",Aplastic Anemia
"excessive red blood cells,headache,dizziness,itching,red skin",Polycythemia Vera
"abnormal blood clotting,easy bruising,prolonged bleeding,heavy periods",Von Willebrand Disease
"blood in urine, bone pain, fractures, fatigue, kidney problems",Multiple Myeloma

"joint pain, swelling, fatigue, stiffness, redness, warmth",Rheumatoid Arthritis
"skin rash, joint pain, fatigue, fever, kidney problems, photosensitivity",Lupus
"dry eyes, dry mouth, fatigue, joint pain, muscle pain",Sjogren's Syndrome
"skin thickening, joint pain, Raynaud's phenomenon, difficulty swallowing",Scleroderma
"muscle weakness, fatigue, difficulty swallowing, double vision, drooping eyelids",Myasthenia Gravis
"abdominal pain, diarrhea, weight loss, fatigue, fever, rectal bleeding",Crohn's Disease
"abdominal pain, diarrhea, rectal bleeding, weight loss, fatigue, urgency",Ulcerative Colitis
"inflammation of blood vessels, various symptoms depending on affected organs",Vasculitis
"skin rash, muscle weakness, difficulty swallowing, Gottron's papules",Dermatomyositis
"muscle pain, stiffness, fatigue, weakness, tenderness in shoulders/hips",Polymyalgia Rheumatica
"hair loss, skin rash, joint pain, fatigue, bald patches on scalp",Alopecia Areata
"blistering skin, mucous membrane lesions, painful sores, erosions",Pemphigus Vulgaris
"skin blisters, itching, tense bullae, hives, redness",Bullous Pemphigoid
"inflammation of the spinal cord,weakness,numbness,paralysis,bowel/bladder problems",Transverse Myelitis
"brain inflammation,headache,fever,seizures,confusion,altered mental status",Autoimmune Encephalitis
"high blood sugar, thirst, frequent urination, blurred vision, fatigue",Diabetes
"high cholesterol,no symptoms initially,can lead to heart disease",Hyperlipidemia
"bone pain, fractures, kidney stones, muscle weakness, fatigue",Hyperparathyroidism
"fatigue, weight gain, muscle weakness, depression, slow heart rate",Hypopituitarism
"bronze skin, fatigue, joint pain, abdominal pain, liver problems",Hemochromatosis
"liver damage, neurological problems, Kayser-Fleischer rings, tremors",Wilson's Disease
"skin lesions, developmental delays, neurological problems, sensitivity to light",Porphyria
"high levels of phenylalanine,musty odor,seizures,developmental delays",Phenylketonuria
"inability to digest galactose,vomiting,diarrhea,jaundice,failure to thrive",Galactosemia
"missed period, nausea, breast tenderness, fatigue, frequent urination",Pregnancy
"high blood pressure during pregnancy,proteinuria,swelling,headache,blurred vision",Preeclampsia
"diabetes during pregnancy,high blood sugar,increased thirst,frequent urination",Gestational Diabetes
"back pain, pelvic pain, difficulty walking, pain radiating to legs",Pregnancy-Related Pelvic Girdle Pain
"morning Sickness, nausea , vomiting",Morning Sickness
"premature labor,contractions before 37 weeks,pelvic pressure,back pain",Preterm Labor
"placenta covering cervix,vaginal bleeding,abdominal pain",Placenta Previa
"placental separation,vaginal bleeding,abdominal pain,uterine tenderness",Placental Abruption
"excessive vomiting during pregnancy,dehydration,weight loss,electrolyte imbalance",Hyperemesis Gravidarum
"itchy skin during pregnancy,especially on palms/soles,jaundice",Obstetric Cholestasis
"seizures during pregnancy,high blood pressure,proteinuria,organ damage",Eclampsia
"amniotic fluid embolism,sudden shortness of breath,low blood pressure,bleeding",Amniotic Fluid Embolism
"postpartum hemorrhage,excessive bleeding after childbirth,low blood pressure,rapid heart rate",Postpartum Hemorrhage
"uterine rupture,severe abdominal pain,vaginal bleeding,fetal distress",Uterine Rupture
"sore throat, fever, swollen glands, headache, body aches",Strep Throat
"high-pitched cough, difficulty breathing, whooping sound, vomiting",Whooping Cough (Pertussis)
"joint pain, swelling, fever, stiffness, rash, fatigue",Juvenile Idiopathic Arthritis
"fever, rash, red eyes, strawberry tongue, swollen lymph nodes",Kawasaki Disease
"abdominal pain, bloody diarrhea, skin rash, joint pain, kidney problems",Henoch-Schonlein Purpura
"growth problems, developmental delays, poor weight gain, failure to thrive",Failure to Thrive
"seizures,febrile seizures,loss of consciousness,jerking movements,fever",Febrile Seizures
"genetic disorders, developmental delays, characteristic facial features, intellectual disability",Down Syndrome
"genetic disorders, fragile bones, frequent fractures, bone deformities",Osteogenesis Imperfecta
"neurological disorder, developmental delays, loss of acquired skills, hand-wringing",Rett Syndrome
"inborn errors of metabolism, various symptoms depending on specific disorder",Various Metabolic Disorders
"cancer in childhood, various symptoms depending on type and location",Childhood Cancers
"connective tissue disorder,long limbs,tall stature,heart problems,eye problems",Ehlers-Danlos Syndrome
"premature aging,short stature,wrinkled skin,hair loss,cardiovascular problems",Progeria
"neurodevelopmental disorder,happy demeanor,intellectual disability,seizures",Angelman Syndrome
"muscle weakness, respiratory problems, difficulty walking, feeding problems",Spinal Muscular Atrophy
"facial abnormalities, developmental delays, hearing loss, breathing problems",Treacher Collins Syndrome
"skin blistering,fragile skin,wounds,infections",Epidermolysis Bullosa
"nausea, vomiting, diarrhea, abdominal cramps, fever, dehydration",Food Poisoning
"headache, dizziness, nausea, confusion, weakness, loss of consciousness",Carbon Monoxide Poisoning
"skin irritation, burning, redness, pain, blisters",Chemical Exposure
"drowsiness, confusion, slowed breathing, pinpoint pupils, unresponsiveness",Drug Overdose
"seizures, coma, brain damage, organ failure",Heavy Metal Poisoning
"liver damage, nausea, vomiting, abdominal pain, jaundice",Acetaminophen Overdose
"kidney damage, rapid breathing, confusion, seizures, coma",Ethylene Glycol Poisoning


 
"fever, cough, runny nose, sore throat, body aches",Common Cold 
"skin rash, fever, swollen lymph nodes, fatigue",Roseola
"fever, sore throat, white patches on tonsils, swollen lymph nodes",Strep Throat 
"abdominal pain, diarrhea, vomiting, fever, blood in stool",Dysentery
"fever, headache, muscle pain, fatigue, cough, sore throat",Influenza 
"cough, fever, shortness of breath, chest pain, fatigue, weight loss",Tuberculosis 
"skin lesions, fever, swollen lymph nodes, muscle pain, headache",Monkeypox
"fever, chills, headache, muscle aches, cough, fatigue",Hantavirus
"rash, fever, joint pain, conjunctivitis, headache",Zika Virus 
"fever, headache, stiff neck, nausea, vomiting, sensitivity to light",Meningitis
"fever, headache, stiff neck, nausea, vomiting, sensitivity to light, rash",Meningitis
"muscle weakness, paralysis, respiratory failure, difficulty swallowing",Polio 
"skin lesions, nerve damage, numbness, muscle weakness, eye problems",Leprosy 
"cough, chest pain, fever, chills, shortness of breath, fatigue",Legionnaires' Disease
"fever, headache, muscle aches, fatigue, bullseye rash, joint pain",Lyme Disease 


"chest pain, shortness of breath, fatigue, dizziness, fainting",Angina
"irregular heartbeat, palpitations, chest pain, shortness of breath, dizziness",Atrial Fibrillation
"shortness of breath, fatigue, swelling in legs/ankles/feet, rapid heartbeat",Heart Failure 
"high blood pressure, headache, nosebleeds, blurred vision, chest pain, shortness of breath",Hypertension 
"chest tightness, cough, wheezing, shortness of breath, mucus production, fatigue",COPD 
"leg pain, cramping, numbness, cold feet, skin changes, slow-healing sores",Peripheral Artery Disease 
"chest pain, shortness of breath, fainting, coughing up blood, rapid heart rate",Pulmonary Embolism 
"leg swelling, pain, redness, warmth, tenderness, skin discoloration",Deep Vein Thrombosis 


"headache, nausea, vomiting, sensitivity to light/sound, aura",Migraine 
"seizures, loss of consciousness, convulsions, muscle spasms, aura",Epilepsy 
"muscle weakness, fatigue, numbness, tingling, vision problems, coordination problems",Multiple Sclerosis 
"tremors, stiffness, slow movement, impaired balance, difficulty walking, speech problems",Parkinson's Disease 
"memory loss, confusion, difficulty with familiar tasks, personality changes, language problems",Alzheimer's Disease 
"sudden, severe headache, stiff neck, nausea, vomiting, loss of consciousness",Subarachnoid Hemorrhage 
"one-sided paralysis, difficulty speaking, vision problems, loss of coordination, confusion",Stroke 
"facial drooping, weakness on one side of face, drooling, difficulty closing eye",Bell's Palsy 


"abdominal pain, bloating, gas, diarrhea, constipation, mucus in stool",Irritable Bowel Syndrome
"acid reflux, heartburn, regurgitation, chest pain, difficulty swallowing",GERD 
"stomach pain, burning sensation, nausea, vomiting, bloating, loss of appetite",Gastritis 
"stomach ulcers, burning pain, nausea, vomiting, bloating, dark stools",Peptic Ulcer Disease 
"abdominal cramps, diarrhea, rectal bleeding, weight loss, fatigue, fever",Ulcerative Colitis 
"abdominal pain, diarrhea, weight loss, fatigue, fever, mouth sores",Crohn's Disease 
"abdominal pain, fever, nausea, vomiting, changes in bowel habits, tenderness",Diverticulitis
"abdominal pain, nausea, vomiting, jaundice, clay-colored stools, dark urine",Hepatitis 
"abdominal pain, bloating, nausea, vomiting, loss of appetite, jaundice",Pancreatitis
"abdominal pain, bloating, gas, diarrhea, constipation, intolerance to certain foods",Food Intolerance


"frequent urination, excessive thirst, blurred vision, fatigue, slow-healing sores",Diabetes
"fatigue, weight gain, cold intolerance, constipation, dry skin, hair loss",Hypothyroidism 
"rapid heartbeat, weight loss, anxiety, tremors, heat intolerance, sweating",Hyperthyroidism 


"skin rash, itching, redness, hives, swelling, difficulty breathing",Allergic Reaction 
"intense itching, especially at night, small red bumps, burrows in skin",Scabies
"red, itchy, inflamed skin, blisters, oozing, crusting",Eczema 
"hair loss, bald patches, thinning hair, excessive shedding",Alopecia 
"thickened, discolored nails, nail fungus, brittle nails, separation of nail from nail bed",Onychomycosis
"red, scaly patches, itching, thickened skin, silvery scales, joint pain",Psoriasis 
"skin lesions, depigmentation, white patches, sensitivity to sun, premature graying",Vitiligo 

 
"joint pain, swelling, stiffness, limited range of motion, redness, warmth",Arthritis 
"back pain, leg pain, numbness, tingling, weakness, limited range of motion",Sciatica 
"muscle cramps, sudden, involuntary muscle contractions, pain, tightness",Muscle Cramps 


"burning urination, frequent urination, cloudy urine, pelvic pain, blood in urine",Urinary Tract Infection
"pelvic pain, prostate tenderness, painful ejaculation, urinary problems, fever",Prostatitis 
"testicular pain, swelling, tenderness, fever, nausea, vomiting",Epididymitis 


"panic attacks, intense fear, rapid heartbeat, sweating, trembling, shortness of breath",Panic Disorder
"eating disorder, food restriction, distorted body image, fear of gaining weight",Anorexia Nervosa
"eating disorder, binge eating followed by purging, guilt, shame",Bulimia Nervosa
"substance dependence, cravings, withdrawal symptoms, loss of control, continued use despite negative consequences",Substance Use Disorder
"persistent worry,feeling on the edge,easily get tired,difficulty on concentrating,irritability,muscle tension,sleep issues",Generalized Anxiety Disorder.
"emotional numbness, sleepiness, headache, nausea, disorientation, difficulty concentrating",Dissociative Amnesia


"muscle weakness, fatigue, difficulty swallowing, double vision, drooping eyelids, shortness of breath",Myasthenia Gravis 
"inflammation of blood vessels, various symptoms depending on affected organs, fever, fatigue, weight loss",Vasculitis 
"skin rash, muscle weakness, difficulty swallowing, Gottron's papules, heliotrope rash",Dermatomyositis 


"bone pain, fractures, kidney stones, muscle weakness, fatigue, high calcium levels",Hyperparathyroidism 
"fatigue, weight gain, muscle weakness, depression, slow heart rate, cold intolerance",Hypopituitarism 


"lung and digestive problems, thick mucus, frequent infections, difficulty absorbing nutrients",Cystic Fibrosis 
"connective tissue disorder, long limbs, tall stature, heart problems, eye problems, flexible joints",Marfan Syndrome 
"bleeding disorder, excessive bleeding, easy bruising, prolonged bleeding after injury/surgery, joint pain",Hemophilia 
"fragile bones, frequent fractures, blue sclera, short stature, hearing loss",Osteogenesis Imperfecta 
"progressive neurological disorder, involuntary movements, cognitive decline, psychiatric problems, chorea",Huntington's Disease 


"blurred vision, sensitivity to light, eye pain, redness, tearing, inflammation",Uveitis 
"dry eyes, itching, burning, gritty sensation, blurred vision, excessive tearing",Dry Eye Syndrome 
"loss of peripheral vision, tunnel vision, eye pain, headache, nausea",Glaucoma 
"ear fullness, ringing, dizziness, fluctuating hearing loss, nausea, vomiting",Meniere's Disease 
"stuffy nose, sneezing, runny nose, itching, watery eyes, postnasal drip",Rhinitis 
"sore throat, difficulty swallowing, pain, redness, fever, swollen lymph nodes",Pharyngitis 

 
"fatigue, weakness, pale skin, shortness of breath, dizziness, rapid heartbeat",Anemia 
"easy bruising, bleeding, petechiae, prolonged bleeding, nosebleeds, heavy periods",Thrombocytopenia 
"frequent infections, fever, fatigue, weakness, slow healing, mouth sores",Neutropenia 


"premature labor, contractions before 37 weeks, pelvic pressure, back pain, vaginal discharge",Preterm Labor 
"placenta covering cervix, vaginal bleeding, abdominal pain, cramping",Placenta Previa 


"high-pitched cough, difficulty breathing, whooping sound, vomiting, exhaustion",Whooping Cough
"joint pain, swelling, fever, stiffness, rash, fatigue, loss of appetite",Juvenile Idiopathic Arthritis 


"nausea, vomiting, diarrhea, abdominal cramps, fever, headache, muscle aches",Food Poisoning 
"headache, dizziness, nausea, confusion, weakness, loss of consciousness, cherry-red skin",Carbon Monoxide Poisoning 


"pain, swelling, bruising, limited movement, deformity, instability",Sprain 
"pain, deformity, swelling, bruising, inability to bear weight, crepitus",Fracture 

